counter;start;end;duration in ms
1;104317935645100;104317942715200;7
2;104318045515800;104318052239900;6
3;104318117595200;104318121837600;4
4;104318166981900;104318171022900;4
5;104318218918600;104318222622800;3
6;104318269081000;104318272727600;3
7;104318316398100;104318321369800;4
8;104318364551300;104318369051400;4
9;104318434728600;104318441062000;6
10;104318501563900;104318507831000;6
11;104318569612000;104318576053200;6
12;104318622033700;104318625584100;3
13;104318671314100;104318674833400;3
14;104318716478600;104318720360600;3
15;104318767565300;104318770957000;3
16;104318811407200;104318814782100;3
17;104318853675800;104318856954300;3
18;104318898473500;104318901650800;3
19;104318943482300;104318947109600;3
20;104318986935600;104318990501100;3
21;104319031373900;104319035066200;3
22;104319077882900;104319081989800;4
23;104319126711500;104319130006600;3
24;104319170253000;104319173731200;3
25;104319212518500;104319215860400;3
26;104319255186800;104319258522600;3
27;104319299605200;104319302841400;3
28;104319343446400;104319346773400;3
29;104319385572100;104319388799600;3
30;104319428514400;104319431948500;3
31;104319471599000;104319474871200;3
32;104319517584000;104319520895600;3
33;104319563314200;104319567426700;4
34;104319608270600;104319611735700;3
35;104319651699700;104319655872800;4
36;104319696713700;104319699980500;3
37;104319744422700;104319747667400;3
38;104319788799600;104319792299900;3
39;104319833158500;104319836415000;3
40;104319876114400;104319879421800;3
41;104319920090400;104319923464300;3
42;104319966465800;104319969689000;3
43;104320010474600;104320013964400;3
44;104320054445600;104320057694300;3
45;104320096643300;104320100041800;3
46;104320144237700;104320147736300;3
47;104320191464400;104320195023800;3
48;104320235543900;104320238784300;3
49;104320279661400;104320282938800;3
50;104320323234500;104320327661700;4
51;104320373694600;104320377732700;4
52;104320420280400;104320424215800;3
53;104320466708700;104320470172200;3
54;104320511652400;104320515276800;3
55;104320556502300;104320560934700;4
56;104320608226800;104320612539300;4
57;104320654743700;104320658944400;4
58;104320701940000;104320705440200;3
59;104320745084000;104320748493100;3
60;104320793652800;104320797124500;3
61;104320838063200;104320841529000;3
62;104320880108900;104320883527600;3
63;104320940062200;104320944597300;4
64;104320986053400;104320990013200;3
65;104321034206800;104321037453600;3
66;104321077953200;104321081178100;3
67;104321121388600;104321124628600;3
68;104321165414100;104321168625000;3
69;104321209420400;104321213409600;3
70;104321254953600;104321258150200;3
71;104321297738700;104321301025300;3
72;104321340972500;104321344364700;3
73;104321382855200;104321386200700;3
74;104321426445500;104321429977500;3
75;104321474703400;104321478019700;3
76;104321518893500;104321522245900;3
77;104321563542800;104321566884400;3
78;104321607760800;104321611511000;3
79;104321652246500;104321659179700;6
80;104321702095200;104321705502500;3
81;104321745062200;104321748357700;3
82;104321788181300;104321791701200;3
83;104321830903200;104321834275400;3
84;104321880150900;104321883471500;3
85;104321923882500;104321927434600;3
86;104321967752600;104321971071200;3
87;104322013942900;104322018337200;4
88;104322060276500;104322063590300;3
89;104322106962000;104322110184300;3
90;104322150759800;104322154078800;3
91;104322194048500;104322197263000;3
92;104322237257000;104322240470700;3
93;104322280449400;104322283756000;3
94;104322328823600;104322332277200;3
95;104322373791500;104322377401700;3
96;104322418588700;104322422186400;3
97;104322461172300;104322464782900;3
98;104322505269000;104322509324400;4
99;104322556141700;104322560206500;4
100;104322603100900;104322606718100;3
101;104322644851600;104322648231900;3
102;104322686927700;104322690189600;3
103;104322730922800;104322738056600;7
104;104322778660300;104322781896600;3
105;104322822744400;104322826708900;3
106;104322864696100;104322868064300;3
107;104322910673400;104322913906700;3
108;104322955770700;104322958973800;3
109;104322998685900;104323001938500;3
110;104323041666500;104323045462900;3
111;104323084663300;104323088041400;3
112;104323126951800;104323130224400;3
113;104323170248500;104323173624000;3
114;104323212669600;104323215936300;3
115;104323255040900;104323258382900;3
116;104323297828400;104323301101100;3
117;104323339363800;104323342626600;3
118;104323383402100;104323386844600;3
119;104323426899600;104323430246300;3
120;104323469259000;104323472550200;3
121;104323512251200;104323515509800;3
122;104323555910300;104323559185900;3
123;104323603013700;104323606389100;3
124;104323645006900;104323648265200;3
125;104323687476300;104323690768300;3
126;104323731581000;104323735397900;3
127;104323777137000;104323780502500;3
128;104323823760300;104323827807700;4
129;104323867988600;104323871261900;3
130;104323911454800;104323914706700;3
131;104323953514900;104323956770400;3
132;104323996205200;104323999658500;3
