counter;start;end;duration in ms
1;104317860764200;104317935085700;74
2;104318002253100;104318045421700;43
3;104318082055300;104318117534500;35
4;104318142144500;104318166924300;24
5;104318194277100;104318218859300;24
6;104318242906000;104318269015900;26
7;104318291076800;104318316337400;25
8;104318341534100;104318364511000;22
9;104318388713700;104318434671400;45
10;104318460329000;104318501525500;41
11;104318526780700;104318569570000;42
12;104318594721200;104318621994600;27
13;104318643782200;104318671259500;27
14;104318692737800;104318716436900;23
15;104318743052200;104318767524400;24
16;104318788840200;104318811353000;22
17;104318832444400;104318853645400;21
18;104318874752700;104318898435100;23
19;104318919899800;104318943417700;23
20;104318964932300;104318986896200;21
21;104319009202300;104319031337500;22
22;104319053899800;104319077821300;23
23;104319103558200;104319126679800;23
24;104319147682100;104319170212000;22
25;104319191735700;104319212489800;20
26;104319233839600;104319255154500;21
27;104319276298800;104319299563000;23
28;104319321395100;104319343416900;22
29;104319364949900;104319385543700;20
30;104319406991800;104319428479500;21
31;104319450404100;104319471572300;21
32;104319493193500;104319517544400;24
33;104319539359400;104319563269400;23
34;104319586140300;104319608236700;22
35;104319630104300;104319651660200;21
36;104319674532500;104319696686600;22
37;104319718276600;104319744371200;26
38;104319765872500;104319788763300;22
39;104319810017700;104319833127900;23
40;104319854049200;104319876073900;22
41;104319897128000;104319920053500;22
42;104319941224800;104319966432400;25
43;104319987362700;104320010439400;23
44;104320031983900;104320054416500;22
45;104320076346800;104320096610500;20
46;104320118402300;104320144198500;25
47;104320165491000;104320191423500;25
48;104320212747200;104320235511700;22
49;104320256636600;104320279637700;23
50;104320300658600;104320323188600;22
51;104320347878900;104320373658800;25
52;104320396327700;104320420250200;23
53;104320443176200;104320466679700;23
54;104320488292900;104320511624700;23
55;104320533587100;104320556471700;22
56;104320580337200;104320608184200;27
57;104320631789300;104320654695000;22
58;104320678074300;104320701910600;23
59;104320723778500;104320745059300;21
60;104320767142300;104320793619100;26
61;104320815648100;104320838029300;22
62;104320859967500;104320880061900;20
63;104320915709500;104320940028000;24
64;104320963290700;104320985987000;22
65;104321008613000;104321034154300;25
66;104321055039500;104321077943300;22
67;104321099346000;104321121380600;22
68;104321142867600;104321165404200;22
69;104321186720700;104321209409400;22
70;104321231980300;104321254938100;22
71;104321275904000;104321297730900;21
72;104321318760500;104321340958400;22
73;104321362123500;104321382847400;20
74;104321404134500;104321426437900;22
75;104321448359100;104321474690200;26
76;104321496880800;104321518885600;22
77;104321540491100;104321563529200;23
78;104321584638300;104321607749500;23
79;104321629578300;104321652238700;22
80;104321678110000;104321702085800;23
81;104321723446500;104321745055000;21
82;104321766085200;104321788168800;22
83;104321809492900;104321830894900;21
84;104321854368900;104321880137400;25
85;104321901199600;104321923873900;22
86;104321945622000;104321967744900;22
87;104321989236700;104322013930700;24
88;104322037118600;104322060266700;23
89;104322081780300;104322106947900;25
90;104322127829700;104322150749200;22
91;104322171888100;104322194040800;22
92;104322214916200;104322237246800;22
93;104322258280100;104322280440700;22
94;104322301492700;104322328809700;27
95;104322351814100;104322373780300;21
96;104322395616900;104322418578800;22
97;104322440251500;104322461163900;20
98;104322482931500;104322505259300;22
99;104322528105000;104322556127100;28
100;104322578963400;104322603091600;24
101;104322624886900;104322644843300;19
102;104322665789100;104322686919800;21
103;104322707850700;104322730913100;23
104;104322756943800;104322778648500;21
105;104322799416100;104322822734200;23
106;104322844938000;104322864687900;19
107;104322885701700;104322910663900;24
108;104322931672600;104322955756400;24
109;104322976537500;104322998675900;22
110;104323020245700;104323041660000;21
111;104323062993800;104323084654900;21
