counter;start;end;duration in ms
1;104317942768700;104318002178400;59
2;104318052285600;104318081990200;29
3;104318121874700;104318142042500;20
4;104318171052000;104318194216900;23
5;104318222649800;104318242847000;20
6;104318272754300;104318291027600;18
7;104318321400300;104318341475900;20
8;104318369081200;104318388655700;19
9;104318441096800;104318460277600;19
10;104318507861200;104318526393600;18
11;104318576081700;104318594682100;18
12;104318625607600;104318643734900;18
13;104318674847300;104318692705400;17
14;104318720384600;104318743002700;22
15;104318770971800;104318788804700;17
16;104318814794700;104318832418200;17
17;104318856970400;104318874721600;17
18;104318901666500;104318919844600;18
19;104318947123500;104318964904700;17
20;104318990517000;104319009114000;18
21;104319035105600;104319053845800;18
22;104319082026200;104319103516700;21
23;104319130021500;104319147653800;17
24;104319173742700;104319191705200;17
25;104319215870600;104319233806100;17
26;104319258532300;104319276274700;17
27;104319302869200;104319321354700;18
28;104319346782300;104319364929400;18
29;104319388808400;104319406972400;18
30;104319431964700;104319450335600;18
31;104319474903000;104319493164800;18
32;104319520905500;104319539330200;18
33;104319567442200;104319586116500;18
34;104319611759900;104319630069400;18
35;104319655889800;104319674504100;18
36;104319699995100;104319718256000;18
37;104319747685800;104319765836100;18
38;104319792309400;104319809997500;17
39;104319836422900;104319854012900;17
40;104319879431400;104319897045300;17
41;104319923478800;104319941205300;17
42;104319969702900;104319987342400;17
43;104320013974800;104320031960100;17
44;104320057702400;104320076316700;18
45;104320100050800;104320118378100;18
46;104320147746000;104320165471000;17
47;104320195035900;104320212727200;17
48;104320238792100;104320256614000;17
49;104320282946300;104320300635400;17
50;104320327685200;104320347800200;20
51;104320377753100;104320396294400;18
52;104320424235100;104320443148100;18
53;104320470183100;104320488267400;18
54;104320515290400;104320533556600;18
55;104320560976100;104320580303300;19
56;104320612561400;104320631753800;19
57;104320658975500;104320678042900;19
58;104320705452200;104320723755100;18
59;104320748502800;104320767115000;18
60;104320797160700;104320815585000;18
61;104320841551600;104320859937400;18
62;104320883547000;104320915684000;32
63;104320944613300;104320963251800;18
64;104320990032100;104321008572000;18
65;104321037457600;104321055029900;17
66;104321081181000;104321099335500;18
67;104321124631200;104321142857400;18
68;104321168628100;104321186710600;18
69;104321213416300;104321231971100;18
70;104321258153400;104321275845500;17
71;104321301028200;104321318750100;17
72;104321344368200;104321362115500;17
73;104321386204000;104321404123600;17
74;104321429981300;104321448346700;18
75;104321478023000;104321496867500;18
76;104321522249400;104321540481200;18
77;104321566887400;104321584628300;17
78;104321611516800;104321629568700;18
