counter;start;end;duration in ms
1;104317860762700;104318002237500;141
2;104318002252900;104318082042400;79
3;104318082055200;104318142097400;60
4;104318142144200;104318194264700;52
5;104318194276900;104318242893600;48
6;104318242905800;104318291064700;48
7;104318291076600;104318341511900;50
8;104318341534100;104318388688900;47
9;104318388713600;104318460317300;71
10;104318460328800;104318526764200;66
11;104318526780500;104318594710500;67
12;104318594721100;104318643761100;49
13;104318643782100;104318692727600;48
14;104318692737600;104318743043300;50
15;104318743052100;104318788828000;45
16;104318788840100;104318832436700;43
17;104318832444300;104318874741700;42
18;104318874752600;104318919888000;45
19;104318919899700;104318964926300;45
20;104318964932100;104319009194200;44
21;104319009202100;104319053892900;44
22;104319053899700;104319103552000;49
23;104319103558100;104319147676000;44
24;104319147681900;104319191729800;44
25;104319191735600;104319233833800;42
26;104319233839500;104319276293000;42
27;104319276298700;104319321389600;45
28;104319321395000;104319364945100;43
29;104319364949800;104319406987000;42
30;104319406991600;104319450398000;43
31;104319450403900;104319493186500;42
32;104319493193200;104319539354100;46
33;104319539359300;104319586135900;46
34;104319586140100;104319630098900;43
35;104319630103900;104319674527800;44
36;104319674532400;104319718272400;43
37;104319718276500;104319765864200;47
38;104319765872300;104319810012800;44
39;104319810017600;104319854026500;44
40;104319854049100;104319897122100;43
41;104319897127900;104319941220500;44
42;104319941224700;104319987357900;46
43;104319987362600;104320031979200;44
44;104320031983800;104320076341900;44
45;104320076346600;104320118397400;42
46;104320118402100;104320165486500;47
47;104320165490900;104320212742200;47
48;104320212747000;104320256632300;43
49;104320256636500;104320300650600;44
50;104320300658500;104320347872000;47
51;104320347878800;104320396323200;48
52;104320396327600;104320443171600;46
53;104320443176000;104320488288400;45
54;104320488292800;104320533582200;45
55;104320533587000;104320580332200;46
56;104320580337000;104320631784300;51
57;104320631789200;104320678069600;46
58;104320678074100;104320723773600;45
59;104320723778400;104320767137300;43
60;104320767142100;104320815642700;48
61;104320815648000;104320859954400;44
62;104320859967400;104320915705300;55
63;104320915709400;104320963268600;47
64;104320963290600;104321008595600;45
65;104321008612900;104321055037400;46
66;104321055039400;104321099344100;44
67;104321099345900;104321142866000;43
68;104321142867500;104321186718300;43
69;104321186720600;104321231978300;45
70;104321231980200;104321275901800;43
71;104321275903900;104321318758500;42
72;104321318760400;104321362121500;43
73;104321362123300;104321404132700;42
74;104321404134400;104321448357100;44
75;104321448359000;104321496878800;48
76;104321496880600;104321540489300;43
77;104321540491000;104321584636300;44
78;104321584638200;104321629576300;44
79;104321629578200;104321678106800;48
80;104321678109900;104321723444200;45
81;104321723446300;104321766081200;42
82;104321766085100;104321809491000;43
83;104321809492800;104321854367000;44
84;104321854368800;104321901197500;46
85;104321901199500;104321945620100;44
86;104321945621900;104321989234600;43
87;104321989236600;104322037116300;47
88;104322037118500;104322081778400;44
89;104322081780200;104322127824100;46
90;104322127829600;104322171885800;44
91;104322171888000;104322214914100;43
92;104322214916100;104322258278500;43
93;104322258280000;104322301491000;43
94;104322301492600;104322351812200;50
95;104322351814000;104322395615000;43
96;104322395616900;104322440249600;44
97;104322440251300;104322482929300;42
98;104322482931400;104322528102500;45
99;104322528104900;104322578961300;50
100;104322578963200;104322624884700;45
101;104322624886800;104322665787200;40
102;104322665789000;104322707849000;42
103;104322707850600;104322756941400;49
104;104322756943700;104322799414200;42
105;104322799415900;104322844936000;45
106;104322844937900;104322885695900;40
107;104322885701600;104322931670600;45
108;104322931672400;104322976535700;44
109;104322976537500;104323020243300;43
110;104323020245300;104323062991600;42
111;104323062993700;104323106112600;43
112;104323106114500;104323147870500;41
113;104323147872400;104323191156300;43
114;104323191160700;104323233483800;42
115;104323233485500;104323276285100;42
116;104323276287100;104323318733100;42
117;104323318734900;104323360747800;42
118;104323360749800;104323404679400;43
119;104323404681200;104323447976700;43
120;104323447978700;104323490336700;42
121;104323490338900;104323533012900;42
122;104323533014500;104323576939700;43
123;104323576941700;104323624089700;47
124;104323624091500;104323665875400;41
125;104323665877100;104323709279800;43
126;104323709282000;104323753632300;44
127;104323753634700;104323798258000;44
128;104323798259900;104323846209100;47
129;104323846211400;104323889351400;43
130;104323889353100;104323932862000;43
131;104323932864400;104323974875100;42
132;104323974877000;104324017925200;43
133;104324017926900;104324062028800;44
134;104324062030800;104324104839200;42
135;104324104841400;104324148118000;43
136;104324148120100;104324189867800;41
137;104324189869700;104324231362700;41
138;104324231364600;104324279192500;47
139;104324279194300;104324322912000;43
140;104324322913900;104324366510500;43
141;104324366512800;104324409365400;42
142;104324409367500;104324451148800;41
143;104324451150800;104324495985300;44
144;104324495990800;104324540649600;44
145;104324540651500;104324583903600;43
146;104324583928600;104324626687700;42
147;104324626689700;104324671255800;44
148;104324671257700;104324717321500;46
149;104324717323300;104324760943500;43
150;104324760945300;104324802744700;41
151;104324802746600;104324843822500;41
152;104324843824300;104324890711800;46
153;104324890714200;104324934198500;43
154;104324934200200;104324976708900;42
155;104324976710600;104325019933000;43
156;104325019935000;104325063222000;43
157;104325063223700;104325106841000;43
158;104325106842800;104325147465500;40
159;104325147467200;104325190710600;43
160;104325190712400;104325233022000;42
161;104325233024000;104325278448400;45
162;104325278451600;104325321724400;43
163;104325321726100;104325364697300;42
164;104325364699600;104325408738800;44
165;104325408740500;104325453036600;44
166;104325453038300;104325499615300;46
167;104325499617200;104325546961000;47
168;104325546963100;104325590381600;43
169;104325590383400;104325633301200;42
170;104325633302800;104325677251100;43
171;104325677253000;104325719948200;42
172;104325719950100;104325766931700;46
173;104325766933800;104325808971000;42
174;104325808975100;104325850012500;41
175;104325850014600;104325893727500;43
176;104325893729000;104325936325400;42
177;104325936327100;104325981800600;45
178;104325981803200;104326024623800;42
179;104326024625600;104326066596100;41
180;104326066598400;104326109104100;42
181;104326109106400;104326153393600;44
182;104326153395300;104326199847500;46
183;104326199849200;104326242939700;43
184;104326242944800;104326285651300;42
185;104326285652900;104326331383000;45
186;104326331385400;104326372759300;41
187;104326372761300;104326422190700;49
188;104326422192400;104326465037100;42
189;104326465038700;104326509621500;44
190;104326509624200;104326553145300;43
191;104326553147100;104326593794500;40
192;104326593796100;104326639914600;46
193;104326639919700;104326681635200;41
194;104326681636600;104326724282900;42
195;104326724284300;104326765753200;41
196;104326765758300;104326808341300;42
197;104326808342600;104326855139300;46
198;104326855140900;104326900137300;44
199;104326900139000;104326944325100;44
200;104326944326900;104326987112000;42
201;104326987114000;104327030061300;42
202;104327030062900;104327076646300;46
203;104327076648300;104327120303500;43
204;104327120305000;104327163598500;43
205;104327163600300;104327205405000;41
206;104327205406700;104327248050200;42
207;104327248052000;104327293133300;45
208;104327293138900;104327338155100;45
209;104327338156700;104327380159600;42
210;104327380161900;104327422991600;42
211;104327422993200;104327464420600;41
212;104327464422200;104327511008200;46
213;104327511061500;104327553438300;42
214;104327553441000;104327595952600;42
215;104327595955500;104327638420600;42
216;104327638423500;104327680413400;41
217;104327680416200;104327726028900;45
218;104327726035900;104327769223900;43
219;104327769226700;104327809349000;40
220;104327809350700;104327853851700;44
221;104327853853600;104327895120600;41
222;104327895122900;104327939213000;44
223;104327939214700;104327988616200;49
224;104327988618000;104328028930400;40
225;104328028932100;104328071648200;42
226;104328071650600;104328115012400;43
227;104328115013800;104328156757300;41
228;104328156759000;104328202749800;45
229;104328202751500;104328245866300;43
230;104328245868000;104328288428200;42
231;104328288430200;104328332350000;43
232;104328332352400;104328377499600;45
233;104328377501700;104328422767800;45
234;104328422770100;104328465787700;43
235;104328465789800;104328508769100;42
236;104328508771300;104328552531200;43
237;104328552533200;104328593508900;40
238;104328593511000;104328639553800;46
239;104328639555500;104328683069200;43
240;104328683070900;104328724782400;41
241;104328724785200;104328769252700;44
242;104328769254600;104328814657800;45
243;104328814659600;104328859860500;45
244;104328859862300;104328903142400;43
245;104328903144600;104328947811500;44
246;104328947813400;104328990712600;42
247;104328990714200;104329036252100;45
248;104329036253900;104329081614500;45
249;104329081616300;104329125694000;44
250;104329125695700;104329169300800;43
251;104329169303200;104329212993000;43
252;104329212994800;104329254838600;41
253;104329254840400;104329299397700;44
254;104329299399400;104329339369600;39
255;104329339371200;104329380486300;41
256;104329380487900;104329423161300;42
257;104329423162700;104329465540000;42
258;104329465541600;104329521257200;55
259;104329521260200;104329564695700;43
260;104329564697400;104329609709000;45
261;104329609711300;104329652647200;42
262;104329652649000;104329694758800;42
263;104329694760400;104329738948100;44
264;104329738949900;104329783325600;44
265;104329783327300;104329824911500;41
266;104329824913100;104329866065200;41
267;104329866066700;104329909158400;43
268;104329909159800;104329955478300;46
269;104329955496800;104330000357000;44
270;104330000358600;104330044744400;44
271;104330044746400;104330087611300;42
